fulfillment_id,order_id,warehouse_hub,delivery_zone,promised_date,actual_delivery_date,delivery_status,delay_reason,delivery_partner
FUL_000001,ORD_000001,Abu Dhabi Hub,Zone C,2025-11-01,2025-10-31,On Time,,QuickShip
FUL_000002,ORD_000002,Dubai Hub,Zone E,2025-12-05,2025-12-05,On Time,,FastTrack
FUL_000003,ORD_000003,Abu Dhabi Hub,Zone A,2025-12-29,2025-12-28,ON TIME,,FastTrack
FUL_000004,ORD_000004,Sharjah Hub,Zone C,2025-11-08,2025-11-08,On Time,,SpeedLink
FUL_000005,ORD_000005,Dubai Hub,Zone A,2025-12-03,2025-12-11,Delayed,Rider Unavailable,FastTrack
FUL_000006,ORD_000006,Sharjah Hub,,2026-01-01,,Failed,Traffic/Weather,FastTrack
FUL_000007,ORD_000007,Dubai Hub,Zone A,2026-01-08,2026-01-09,Delayed,Warehouse Delay,QuickShip
FUL_000008,ORD_000008,Abu Dhabi Hub,Zone A,2025-11-06,2025-11-06,On Time,,FastTrack
FUL_000009,ORD_000009,Dubai Hub,Zone B,2025-12-13,,Pending,,SpeedLink
FUL_000010,ORD_000010,Abu Dhabi Hub,Zone D,2025-12-27,,FAILED,Order Cancelled,FastTrack
FUL_000011,ORD_000011,Dubai Hub,Zone C,2025-11-11,,Pending,,QuickShip
FUL_000012,ORD_000012,Dubai Hub,Zone C,2025-10-11,,Failed,Order Cancelled,QuickShip
FUL_000013,ORD_000013,Dubai Hub,Zone E,2025-12-16,2025-12-15,On Time,,FastTrack
FUL_000014,ORD_000014,Sharjah Hub,Zone E,2025-12-04,2025-12-03,On Time,,SpeedLink
FUL_000015,ORD_000015,Dubai Hub,Zone B,2025-12-18,2025-12-15,On Time,,FastTrack
FUL_000016,ORD_000016,Abu Dhabi Hub,Zone D,2025-10-24,2025-10-23,On Time,,QuickShip
FUL_000017,ORD_000017,Abu Dhabi Hub,Zone C,2025-12-23,2025-12-22,On Time,,FastTrack
FUL_000018,ORD_000018,Sharjah Hub,Zone F,2025-10-14,2025-10-15,Delayed,Address Issue,QuickShip
FUL_000019,ORD_000019,Sharjah Hub,Zone E,2025-11-01,,Pending,,FastTrack
FUL_000020,ORD_000020,Dubai Hub,Zone D,2025-10-18,,Failed,Customer Unavailable,QuickShip
FUL_000021,ORD_000021,Dubai Hub,Zone B,2025-10-25,2025-10-24,On Time,,QuickShip
FUL_000022,ORD_000022,Dubai Hub,Zone C,2025-10-17,2025-10-15,On Time,,FastTrack
FUL_000023,ORD_000023,Dubai Hub,Zone D,2026-01-04,2026-01-03,On Time,,SpeedLink
FUL_000024,ORD_000024,Dubai Hub,Zone F,2025-12-20,2025-12-18,On Time,,FastTrack
FUL_000025,ORD_000025,Dubai Hub,Zone F,2025-10-19,2025-10-17,On Time,,SpeedLink
FUL_000026,ORD_000026,Dubai Hub,Zone D,2025-10-30,2025-10-29,On Time,,SpeedLink
FUL_000027,ORD_000027,Dubai Hub,Zone E,2025-10-29,2025-10-28,On Time,,SpeedLink
FUL_000028,ORD_000028,Dubai Hub,Zone C,2025-12-12,2025-12-12,On Time,,QuickShip
FUL_000029,ORD_000029,Abu Dhabi Hub,Zone F,2025-11-10,2025-11-13,Delayed,Traffic/Weather,SpeedLink
FUL_000030,ORD_000030,Dubai Hub,Zone D,2025-12-02,2025-12-02,On Time,,FastTrack
FUL_000031,ORD_000031,Sharjah Hub,Zone C,2025-10-26,2025-10-24,On Time,,QuickShip
FUL_000032,ORD_000032,Sharjah Hub,Zone C,2026-01-05,2026-01-03,on-time,,FastTrack
FUL_000033,ORD_000033,Abu Dhabi Hub,Zone B,2025-11-23,2025-11-22,OnTime,,SpeedLink
