item_id,order_id,product_category,product_name,quantity,unit_price,item_total
ITEM_000001,ORD_000001,Fashion,Sunglasses Premium,3,274.28,822.84
ITEM_000002,ORD_000001,Home & Kitchen,Electric Kettle,3,324.4,973.2
ITEM_000003,ORD_000001,Beauty,Body Lotion,2,78.16,156.32
ITEM_000004,ORD_000002,Home & Kitchen,Knife Set Premium,1,307.74,307.74
ITEM_000005,ORD_000002,Home & Kitchen,Knife Set Premium,1,191.39,191.39
ITEM_000006,ORD_000002,Electronics,Wireless Earbuds,3,942.02,2826.06
ITEM_000007,ORD_000002,Electronics,Gaming Console,2,855.61,1711.22
ITEM_000008,ORD_000003,Fashion,Sports Hoodie,1,103.1,103.1
ITEM_000009,ORD_000003,Fashion,Leather Belt,1,86.57,86.57
ITEM_000010,ORD_000003,Home & Kitchen,Bedding Set,2,312.95,625.9
ITEM_000011,ORD_000003,Fashion,Formal Shirt,3,149.01,447.03
ITEM_000012,ORD_000004,Groceries,Chocolate Assortment,2,61.72,123.44
ITEM_000013,ORD_000004,Home & Kitchen,Storage Containers,2,185.94,371.88
ITEM_000014,ORD_000004,Electronics,Gaming Console,2,878.4,1756.8
ITEM_000015,ORD_000004,Electronics,Smartphone Pro Max,3,272.36,817.08
ITEM_000016,ORD_000005,Fashion,Designer Handbag,2,290.24,580.48
ITEM_000017,ORD_000005,Beauty,Eye Cream,1,126.52,126.52
ITEM_000018,ORD_000005,Fashion,Formal Shirt,2,100.24,200.48
ITEM_000019,ORD_000005,Groceries,Honey Raw,3,41.53,124.59
ITEM_000020,ORD_000005,Electronics,Smart Watch Series,2,203.58,407.16
ITEM_000021,ORD_000006,Fashion,Silk Scarf,1,151.39,151.39
ITEM_000022,ORD_000006,Home & Kitchen,Electric Kettle,1,383.55,383.55
ITEM_000023,ORD_000006,Fashion,Sports Hoodie,2,199.17,398.34
ITEM_000024,ORD_000007,Fashion,Formal Shirt,2,58.75,117.5
ITEM_000025,ORD_000007,Groceries,Honey Raw,1,63.42,63.42
ITEM_000026,ORD_000007,Groceries,Green Tea Collection,1,52.9,52.9
ITEM_000027,ORD_000007,Home & Kitchen,Air Fryer 5L,3,77.11,231.33
ITEM_000028,ORD_000007,Fashion,Summer Dress,3,94.47,283.41
ITEM_000029,ORD_000008,Beauty,Makeup Palette,2,30.39,60.78
ITEM_000030,ORD_000008,Fashion,Formal Shirt,1,112.77,112.77
ITEM_000031,ORD_000008,Fashion,Summer Dress,1,187.03,187.03
ITEM_000032,ORD_000009,Fashion,Running Shoes,1,161.59,161.59
ITEM_000033,ORD_000009,Electronics,Action Camera,2,947.48,1894.96
ITEM_000034,ORD_000009,Beauty,Nail Polish Set,2,126.56,253.12
ITEM_000035,ORD_000010,Fashion,Denim Jeans,1,164.84,164.84
ITEM_000036,ORD_000010,Fashion,Leather Belt,2,226.56,453.12
ITEM_000037,ORD_000011,Fashion,Silk Scarf,1,232.03,232.03
ITEM_000038,ORD_000011,Fashion,Designer Handbag,3,97.96,293.88
ITEM_000039,ORD_000011,Electronics,4K Smart TV,1,647.52,647.52
ITEM_000040,ORD_000011,Fashion,Silk Scarf,1,174.83,174.83
ITEM_000041,ORD_000011,Electronics,Power Bank 20000mAh,1,884.28,884.28
ITEM_000042,ORD_000012,Home & Kitchen,Toaster 4-Slice,2,177.71,355.42
ITEM_000043,ORD_000012,Fashion,Running Shoes,2,255.65,511.3
ITEM_000044,ORD_000012,Beauty,Hair Dryer Pro,3,87.67,263.01
ITEM_000045,ORD_000012,Electronics,Smart Watch Series,3,684.33,2052.99
ITEM_000046,ORD_000012,Groceries,Energy Bars Pack,3,53.84,161.52
ITEM_000047,ORD_000013,Fashion,Silk Scarf,3,293.48,880.44
ITEM_000048,ORD_000013,Fashion,Designer Handbag,3,104.82,314.46
ITEM_000049,ORD_000013,BEAUTY,Skincare Set,2,99.78,199.56
ITEM_000050,ORD_000013,Home & Kitchen,Pressure Cooker,3,137.37,412.11
ITEM_000051,ORD_000014,Electronics,Drone Mini,3,965.01,2895.03
ITEM_000052,ORD_000014,Electronics,Power Bank 20000mAh,2,548.49,1096.98
ITEM_000053,ORD_000015,Fashion,Casual Sneakers,3,277.35,832.05
ITEM_000054,ORD_000015,electronics,Action Camera,1,601.72,601.72
ITEM_000055,ORD_000015,Electronics,Wireless Mouse,3,994.49,2983.47
