order_id,customer_id,order_date,order_channel,order_status,gross_amount,discount_amount,net_amount,payment_method,coupon_code
ORD_000001,CUST_01310,2025-10-29,App,Delivered,413.29,,413.29,COD,
ORD_000002,CUST_00229,2025-12-02,App,Delivered,351.01,0.0,351.01,Wallet,
ORD_000003,CUST_00052,2025-12-27,Web,Delivered,236.84,39.65,197.19,COD,SPECIAL5
ORD_000004,CUST_00564,2025-11-03,App,Delivered,315.47,0.0,315.47,Card,
ORD_000005,CUST_00502,2025-12-01,Web,Delivered,775.11,72.21,702.9,Wallet,WELCOME15
ORD_000006,CUST_00286,2025-12-28,Web,Delivered,207.33,0.0,207.33,Card,
ORD_000007,CUST_01509,2026-01-05,App,Delivered,265.32,70.07,195.25,Wallet,SAVE10
ORD_000008,CUST_01386,2025-11-01,Web,Delivered,421.8,0.0,421.8,Apple Pay,
ORD_000009,CUST_01517,2025-12-10,Web,Delivered,598.33,165.64,432.69,Card,MEGA30
ORD_000010,CUST_00179,2025-12-22,App,Cancelled,263.26,67.06,196.2,Card,MEGA30
ORD_000011,CUST_00865,2025-11-06,Web,Delivered,373.73,0.0,373.73,Card,
ORD_000012,CUST_00066,2025-10-09,App,Cancelled,1588.22,0.0,1588.22,Wallet,
ORD_000013,CUST_00062,2025-12-14,Web,Delivered,285.33,79.55,205.78,Card,SAVE10
ORD_000014,CUST_00448,2025-12-01,App,Delivered,540.19,78.47,461.72,COD,WELCOME15
ORD_000015,CUST_01035,2025-12-14,Web,Returned,1522.19,114.71,1407.48,COD,MEGA30
ORD_000016,CUST_00055,2025-10-22,Web,Delivered,669.29,161.58,507.71,Card,MEGA30
ORD_000017,CUST_00408,2025-12-18,Web,Delivered,377.61,0.0,377.61,Wallet,
ORD_000018,CUST_01467,2025-10-09,App,Delivered,530.68,49.22,481.46,Card,SPECIAL5
ORD_000019,CUST_01437,2025-10-28,Web,In Transit,234.28,0.0,234.28,Card,
ORD_000020,CUST_01117,2025-10-15,App,Delivered,249.79,0.0,249.79,Wallet,
ORD_000021,CUST_00860,2025-10-23,Call Center,Returned,523.34,63.01,460.33,COD,WELCOME15
ORD_000022,CUST_00920,2025-10-14,App,Delivered,454.04,0.0,454.04,Card,
ORD_000023,CUST_01207,2026-01-02,App,Delivered,409.75,0.0,409.75,Card,
ORD_000024,CUST_00570,2025-12-17,App,Delivered,88.29,0.0,88.29,COD,
ORD_000025,CUST_01658,2025-10-16,Call Center,Delivered,250.7,0.0,250.7,COD,
ORD_000026,CUST_01781,2025-10-25,App,Delivered,680.24,0.0,680.24,COD,
ORD_000027,CUST_00014,2025-10-24,App,Delivered,466.61,67.38,399.23,Wallet,
ORD_000028,CUST_01651,2025-12-10,App,Returned,517.67,155.1,362.57,COD,WELCOME15
ORD_000029,CUST_01430,2025-11-08,Web,Delivered,266.48,70.81,195.67,Wallet,VIP25
